tx_time,tx_id,tx_token_addr,tx_token_decimals,tx_from,tx_to,tx_value
1623041089,0x8f6a5db2aaf9361ad6acaadcf2e6224d12d6392b4c075b53ffdf39045963a470,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x04e8cc30871649a9d941deb324d3460d6101cc57,0x3f305417ddc1771dbff8da29cfc20d5331b488da,80000000000
1623040776,0xb44472967ef1ee315aab4a8f65ae874857325dea77630bff7a0684b31282cf02,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x34aad9910c5a496cb796396eaa41944f55a44920,0x04e8cc30871649a9d941deb324d3460d6101cc57,80000000000
1623040776,0x977a5950e01e88406318ade1f9fc96dd1145ef4e8ccae1355e06dc10fcb64d1c,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x04e8cc30871649a9d941deb324d3460d6101cc57,0x3f305417ddc1771dbff8da29cfc20d5331b488da,684579411400
1623040765,0x00532feb262330b7121693fd62bc15b48afd5e308946fba07982e0dad32e30ba,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x5b4dc3413ff419a51ec4eed416845d32f15dc75a,0x04e8cc30871649a9d941deb324d3460d6101cc57,109000000000
1623040752,0x5abcaa9c847109c2fdf793fe858404cb1afc79a519f49ce007ade8bcf324e309,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x39bdde74b529512c3a50c7355999b09af83c7e46,0x04e8cc30871649a9d941deb324d3460d6101cc57,124000000000
1623040752,0x1f54259eb3610b803a34b4341b30ad4936d39146104e72617eb15112919e5ec4,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x878fb9fffa6f92a637760ade5b3f8b0b54686fa7,0x04e8cc30871649a9d941deb324d3460d6101cc57,93000000000
1623040676,0xec7718669097375d2c56d8ac3d2d647ceacce93a1a1dccea3f86e825799fa838,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x437eab1b19e5a584ca4e53504f8b081e21226b2c,0x04e8cc30871649a9d941deb324d3460d6101cc57,102000000000
1623040668,0x37ca3fec462f7c3191ead89e3a14608e97612576453ee15641d5ac12cf346fd5,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x5091290dea577fd1890edd1c47bfc962119c7d50,0x04e8cc30871649a9d941deb324d3460d6101cc57,96579411400
1623040516,0xda3a0ee7b1ba5b5100d8cf8f969aa2fa43f5b2a2e3e4f3f9b93f14c2f7c564b2,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x95d11184b9bbfb57bf2712a5966494e886f0ec9d,0x04e8cc30871649a9d941deb324d3460d6101cc57,81000000000
1623040516,0xdf1f490009e887b00b789763f3dbcca1d76578427f70cc9c5f1f8433c517d2cf,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x7f6f62e9fe27bf3876087db88c652e20c382c9af,0x04e8cc30871649a9d941deb324d3460d6101cc57,79000000000
1623040469,0xab0c54d1e1fd73028135d4c4186cb7868cac801d9f066dc269458a84603fe793,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x04e8cc30871649a9d941deb324d3460d6101cc57,0x3f305417ddc1771dbff8da29cfc20d5331b488da,98000000000
1623040418,0x3426e48cb9e38a71afc96ef075264b3b3e4c9710ca2a146f3a41f022c9ec1927,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x189df2a9e40ae85c76bf821d07137a7d2f8fe279,0x04e8cc30871649a9d941deb324d3460d6101cc57,98000000000
1622440764,0xc5311aa5b7c23a410261e4679147c2bb9cc6ff97edf5d9847dfb027cab6b1d18,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x04e8cc30871649a9d941deb324d3460d6101cc57,0x3f305417ddc1771dbff8da29cfc20d5331b488da,46000000000
1622440646,0x81b1cb925ecb53e9e12388eebb85c4f91670a75ef264add24df26d2e73efcac4,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x34aad9910c5a496cb796396eaa41944f55a44920,0x04e8cc30871649a9d941deb324d3460d6101cc57,23000000000
1622440635,0x573e9f45f1be1775c5acd841de198162de56fe29a815c304d6da80672fb6692a,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x5b4dc3413ff419a51ec4eed416845d32f15dc75a,0x04e8cc30871649a9d941deb324d3460d6101cc57,23000000000
1622440495,0x26493c90b96fd870ea1ffa3ec315a97ba9eb09124790fe1417dc89683bc79f9b,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x04e8cc30871649a9d941deb324d3460d6101cc57,0x3f305417ddc1771dbff8da29cfc20d5331b488da,152745818000
1622440386,0xe1b09738bf60041be021e3044ffa0e7b5c230b921992e08fe87013952f93c21d,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x878fb9fffa6f92a637760ade5b3f8b0b54686fa7,0x04e8cc30871649a9d941deb324d3460d6101cc57,5000000000
1622440385,0xdf6829b55358dae4f110e5af19fe25662bb4ad908f06f0726da0b5dea9bd8e6f,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x39bdde74b529512c3a50c7355999b09af83c7e46,0x04e8cc30871649a9d941deb324d3460d6101cc57,41745818000
1622440332,0x1058c9cb18d314f241f76a390d2dedd45fcb09da67f44c8e35123303dfaa29a1,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x437eab1b19e5a584ca4e53504f8b081e21226b2c,0x04e8cc30871649a9d941deb324d3460d6101cc57,20000000000
