tx_time,tx_id,tx_token_addr,tx_token_decimals,tx_from,tx_to,tx_value
1620056302,0x4b6c98e5ddb70ea26f913b37eec26a4e58e69095ea49c43275021af8bafe2fb9,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,300000000000
1620053294,0xdf128254af3c6d518cd819d3059db017dd1c1c1a663c3d60285752e7dcd23a2a,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x3f305417ddc1771dbff8da29cfc20d5331b488da,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,300000000000
1619175951,0x151ea621a323a9627b30e194cc5330be23aae5653918dc49576c8065cbbaec7d,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,100000000000
1619160660,0x2e8b1a3d175cd1ca1fb8e0dcc162476feaefc01e85d4de7479d49f30124b1492,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x957ebb248503336d8c2e0df0d9ac4abeaccf3327,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,100000000000
1618648249,0x8d93507b0e553712ba683c3b882de8aea0df293a60d1adad8c986c405cfbc916,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,5960415000000
1618398785,0xd59d88fb1f8676621a02d591590af5cd2fc9098c04876dbeca8bcc70c8c8b528,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x957ebb248503336d8c2e0df0d9ac4abeaccf3327,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,1285581000000
1618393916,0x852301d97394bce8fd48b3768903fa1d696a90f05fd65ec77b96f4809be5f519,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x3f305417ddc1771dbff8da29cfc20d5331b488da,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,200000000000
1618393889,0x57aa547dcad013ddea33ce53cbedd594458bc8f684b5ed0a4f030ded580f2738,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x957ebb248503336d8c2e0df0d9ac4abeaccf3327,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,1582582000000
1618390326,0x6d48a49b3eed6932248f9d1c5f056d0d73128dbc1f8cdac22f7c022154d79cd0,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x957ebb248503336d8c2e0df0d9ac4abeaccf3327,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,1555890000000
1618388029,0x0adc53c60f7d19f355fc4da2f5ce69b047a59842a916cc02ce99db4c9555addb,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x957ebb248503336d8c2e0df0d9ac4abeaccf3327,0x06b59ffa30887bd82d6a89b21193c8bbeee7e0d0,1336362000000
